------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 55880 connected with 10.0.0.4 port 5001 (icwnd/mss/irtt=14/1448/4353)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-5.0000 sec  50.0 GBytes  86.0 Gbits/sec
[  1] 5.0000-10.0000 sec  51.3 GBytes  88.2 Gbits/sec
[  1] 10.0000-15.0000 sec  51.8 GBytes  89.0 Gbits/sec
[  1] 15.0000-20.0000 sec  52.3 GBytes  89.8 Gbits/sec
[  1] 20.0000-25.0000 sec  52.3 GBytes  89.9 Gbits/sec
[  1] 25.0000-30.0000 sec  51.8 GBytes  89.0 Gbits/sec
[  1] 30.0000-35.0000 sec  50.8 GBytes  87.4 Gbits/sec
[  1] 35.0000-40.0000 sec  51.3 GBytes  88.1 Gbits/sec
[  1] 40.0000-45.0000 sec  51.0 GBytes  87.6 Gbits/sec
[  1] 45.0000-50.0000 sec  50.9 GBytes  87.4 Gbits/sec
[  1] 50.0000-55.0000 sec  51.9 GBytes  89.2 Gbits/sec
[  1] 55.0000-60.0000 sec  48.7 GBytes  83.6 Gbits/sec
[  1] 60.0000-65.0000 sec  46.6 GBytes  80.0 Gbits/sec
[  1] 65.0000-70.0000 sec  45.2 GBytes  77.7 Gbits/sec
[  1] 70.0000-75.0000 sec  39.5 GBytes  67.8 Gbits/sec
[  1] 75.0000-80.0000 sec  37.7 GBytes  64.8 Gbits/sec
[  1] 80.0000-85.0000 sec  37.7 GBytes  64.7 Gbits/sec
[  1] 85.0000-90.0000 sec  41.2 GBytes  70.7 Gbits/sec
[  1] 90.0000-95.0000 sec  37.7 GBytes  64.7 Gbits/sec
[  1] 95.0000-100.0000 sec  40.6 GBytes  69.7 Gbits/sec
[  1] 100.0000-105.0000 sec  40.3 GBytes  69.2 Gbits/sec
[  1] 105.0000-110.0000 sec  40.0 GBytes  68.8 Gbits/sec
[  1] 110.0000-115.0000 sec  39.4 GBytes  67.7 Gbits/sec
[  1] 115.0000-120.0000 sec  39.4 GBytes  67.7 Gbits/sec
[  1] 120.0000-125.0000 sec  39.4 GBytes  67.7 Gbits/sec
[  1] 125.0000-130.0000 sec  39.0 GBytes  67.0 Gbits/sec
[  1] 130.0000-135.0000 sec  38.0 GBytes  65.2 Gbits/sec
[  1] 135.0000-140.0000 sec  38.4 GBytes  66.0 Gbits/sec
[  1] 140.0000-145.0000 sec  38.4 GBytes  66.0 Gbits/sec
[  1] 145.0000-150.0000 sec  38.2 GBytes  65.6 Gbits/sec
[  1] 150.0000-155.0000 sec  41.0 GBytes  70.4 Gbits/sec
[  1] 155.0000-160.0000 sec  43.4 GBytes  74.6 Gbits/sec
[  1] 160.0000-165.0000 sec  43.8 GBytes  75.2 Gbits/sec
[  1] 165.0000-170.0000 sec  45.2 GBytes  77.6 Gbits/sec
[  1] 170.0000-175.0000 sec  45.1 GBytes  77.6 Gbits/sec
[  1] 175.0000-180.0000 sec  45.0 GBytes  77.3 Gbits/sec
[  1] 180.0000-185.0000 sec  45.0 GBytes  77.3 Gbits/sec
[  1] 185.0000-190.0000 sec  45.6 GBytes  78.3 Gbits/sec
[  1] 190.0000-195.0000 sec  45.0 GBytes  77.2 Gbits/sec
[  1] 195.0000-200.0000 sec  45.7 GBytes  78.5 Gbits/sec
[  1] 200.0000-205.0000 sec  45.2 GBytes  77.7 Gbits/sec
[  1] 205.0000-210.0000 sec  45.3 GBytes  77.8 Gbits/sec
[  1] 210.0000-215.0000 sec  44.6 GBytes  76.6 Gbits/sec
[  1] 215.0000-220.0000 sec  39.6 GBytes  68.0 Gbits/sec
[  1] 220.0000-225.0000 sec  39.0 GBytes  67.1 Gbits/sec
[  1] 225.0000-230.0000 sec  38.6 GBytes  66.4 Gbits/sec
[  1] 230.0000-235.0000 sec  38.0 GBytes  65.2 Gbits/sec
[  1] 235.0000-240.0000 sec  38.6 GBytes  66.3 Gbits/sec
[  1] 240.0000-245.0000 sec  38.5 GBytes  66.1 Gbits/sec
[  1] 245.0000-250.0000 sec  37.0 GBytes  63.6 Gbits/sec
[  1] 250.0000-255.0000 sec  36.9 GBytes  63.4 Gbits/sec
[  1] 255.0000-260.0000 sec  36.9 GBytes  63.4 Gbits/sec
[  1] 260.0000-265.0000 sec  36.6 GBytes  62.9 Gbits/sec
