------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 34316 connected with 10.0.0.4 port 5001 (icwnd/mss/irtt=14/1448/5985)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-5.0000 sec   834 MBytes  1.40 Gbits/sec
[  1] 5.0000-10.0000 sec  1.21 GBytes  2.08 Gbits/sec
[  1] 10.0000-15.0000 sec  1002 MBytes  1.68 Gbits/sec
[  1] 15.0000-20.0000 sec   821 MBytes  1.38 Gbits/sec
[  1] 20.0000-25.0000 sec  1.22 GBytes  2.09 Gbits/sec
[  1] 25.0000-30.0000 sec   796 MBytes  1.33 Gbits/sec
[  1] 30.0000-35.0000 sec  1015 MBytes  1.70 Gbits/sec
[  1] 35.0000-40.0000 sec   971 MBytes  1.63 Gbits/sec
[  1] 40.0000-45.0000 sec   982 MBytes  1.65 Gbits/sec
[  1] 45.0000-50.0000 sec  1.21 GBytes  2.08 Gbits/sec
[  1] 50.0000-55.0000 sec   770 MBytes  1.29 Gbits/sec
[  1] 55.0000-60.0000 sec  1.15 GBytes  1.97 Gbits/sec
[  1] 60.0000-65.0000 sec  1.24 GBytes  2.14 Gbits/sec
[  1] 65.0000-70.0000 sec  1.17 GBytes  2.02 Gbits/sec
[  1] 70.0000-75.0000 sec  1.13 GBytes  1.94 Gbits/sec
[  1] 75.0000-80.0000 sec  1.18 GBytes  2.04 Gbits/sec
[  1] 80.0000-85.0000 sec  1.17 GBytes  2.00 Gbits/sec
[  1] 85.0000-90.0000 sec   804 MBytes  1.35 Gbits/sec
[  1] 90.0000-95.0000 sec   858 MBytes  1.44 Gbits/sec
[  1] 95.0000-100.0000 sec   956 MBytes  1.60 Gbits/sec
[  1] 100.0000-105.0000 sec  1.12 GBytes  1.92 Gbits/sec
[  1] 105.0000-110.0000 sec  1.13 GBytes  1.95 Gbits/sec
[  1] 110.0000-115.0000 sec  1.21 GBytes  2.07 Gbits/sec
[  1] 115.0000-120.0000 sec  1.41 GBytes  2.42 Gbits/sec
[  1] 120.0000-125.0000 sec  1.06 GBytes  1.82 Gbits/sec
[  1] 125.0000-130.0000 sec   997 MBytes  1.67 Gbits/sec
[  1] 130.0000-135.0000 sec  1.20 GBytes  2.06 Gbits/sec
[  1] 135.0000-140.0000 sec   881 MBytes  1.48 Gbits/sec
[  1] 140.0000-145.0000 sec  1.11 GBytes  1.91 Gbits/sec
[  1] 145.0000-150.0000 sec  1.13 GBytes  1.95 Gbits/sec
[  1] 150.0000-155.0000 sec   908 MBytes  1.52 Gbits/sec
[  1] 155.0000-160.0000 sec   959 MBytes  1.61 Gbits/sec
[  1] 160.0000-165.0000 sec  1.34 GBytes  2.29 Gbits/sec
[  1] 165.0000-170.0000 sec   912 MBytes  1.53 Gbits/sec
[  1] 170.0000-175.0000 sec  1.13 GBytes  1.94 Gbits/sec
[  1] 175.0000-180.0000 sec  1.32 GBytes  2.27 Gbits/sec
[  1] 180.0000-185.0000 sec  1.11 GBytes  1.90 Gbits/sec
[  1] 185.0000-190.0000 sec  1.08 GBytes  1.86 Gbits/sec
[  1] 190.0000-195.0000 sec  1.09 GBytes  1.87 Gbits/sec
[  1] 195.0000-200.0000 sec   972 MBytes  1.63 Gbits/sec
[  1] 200.0000-205.0000 sec  1016 MBytes  1.70 Gbits/sec
[  1] 205.0000-210.0000 sec   894 MBytes  1.50 Gbits/sec
[  1] 210.0000-215.0000 sec   905 MBytes  1.52 Gbits/sec
[  1] 215.0000-220.0000 sec   937 MBytes  1.57 Gbits/sec
[  1] 220.0000-225.0000 sec  1.09 GBytes  1.87 Gbits/sec
[  1] 225.0000-230.0000 sec   990 MBytes  1.66 Gbits/sec
[  1] 230.0000-235.0000 sec  1.04 GBytes  1.79 Gbits/sec
[  1] 235.0000-240.0000 sec  1.27 GBytes  2.17 Gbits/sec
[  1] 240.0000-245.0000 sec  1.33 GBytes  2.28 Gbits/sec
[  1] 245.0000-250.0000 sec  1.26 GBytes  2.16 Gbits/sec
[  1] 250.0000-255.0000 sec  1.05 GBytes  1.81 Gbits/sec
[  1] 255.0000-260.0000 sec  1.07 GBytes  1.83 Gbits/sec
[  1] 260.0000-265.0000 sec   804 MBytes  1.35 Gbits/sec
[  1] 265.0000-270.0000 sec   906 MBytes  1.52 Gbits/sec
